rock_strength,moisture,vibration,slope_angle,depth,label
58,0.63,5.0,46,304,0
48,0.86,5.89,27,284,0
34,0.86,5.2,29,201,0
62,0.81,5.33,47,392,0
27,0.65,3.04,26,274,0
40,0.76,3.76,18,266,0
58,0.67,2.27,22,379,0
38,0.6,1.98,37,389,0
42,0.29,3.53,25,350,0
30,0.77,3.98,28,353,0
30,0.77,2.7,29,395,0
43,0.64,3.85,18,254,0
55,0.77,5.44,42,205,0
59,0.66,3.78,49,362,0
43,0.34,4.6,39,349,0
22,0.39,5.03,37,370,0
41,0.35,5.94,45,342,0
21,0.46,4.02,42,285,0
43,0.23,5.03,28,259,0
63,0.63,5.81,22,300,0
49,0.44,5.72,32,211,0
57,0.66,1.71,22,248,0
21,0.47,3.03,29,241,0
40,0.68,2.62,22,365,0
52,0.44,1.43,34,281,0
31,0.38,4.17,34,372,0
41,0.55,4.68,41,234,0
63,0.69,5.24,29,357,0
44,0.44,1.61,41,357,0
68,0.86,5.38,45,333,0
46,0.23,4.21,32,266,0
61,0.49,4.52,32,279,0
47,0.88,5.55,23,206,0
35,0.58,4.12,29,379,0
34,0.5,2.68,44,213,0
66,0.6,5.13,46,272,0
63,0.6,2.82,37,342,0
22,0.71,1.17,35,348,0
56,0.29,5.15,31,362,0
26,0.38,2.73,19,265,0
40,0.61,4.87,26,290,0
28,0.81,2.81,48,329,0
58,0.59,5.31,22,362,0
37,0.37,2.1,37,219,0
23,0.68,5.87,43,209,1
44,0.72,4.9,46,224,0
33,0.37,1.57,18,393,0
69,0.46,3.83,40,224,0
28,0.57,5.93,20,253,0
45,0.55,3.36,23,232,0
21,0.47,1.91,22,363,0
39,0.41,3.42,38,294,0
47,0.27,3.56,44,213,0
66,0.24,4.71,22,264,0
26,0.87,4.49,18,309,0
63,0.79,3.01,34,279,0
27,0.45,2.09,36,253,0
66,0.87,4.23,31,324,0
54,0.67,3.11,29,379,0
33,0.54,1.66,27,330,0
36,0.55,5.5,37,368,0
55,0.26,4.46,38,333,0
69,0.26,4.42,35,224,0
59,0.62,5.11,41,340,0
23,0.59,3.65,44,316,0
21,0.35,5.08,28,335,0
25,0.86,3.49,47,348,0
61,0.75,1.34,19,395,0
23,0.28,3.03,42,224,0
48,0.85,3.49,35,278,0
37,0.88,4.6,46,267,1
45,0.9,1.53,42,372,0
63,0.24,1.7,24,387,0
53,0.72,2.32,48,211,0
29,0.58,2.33,41,231,0
55,0.69,4.66,32,327,0
33,0.88,2.25,28,295,0
50,0.68,4.17,35,291,0
67,0.79,3.47,40,340,0
34,0.81,3.87,29,230,0
27,0.79,5.19,23,277,0
33,0.5,3.02,37,219,0
42,0.36,4.85,40,345,0
59,0.48,3.11,49,259,0
40,0.82,2.77,47,390,0
35,0.3,5.79,30,333,0
64,0.56,1.92,37,359,0
37,0.36,1.45,33,292,0
66,0.61,4.85,35,242,0
43,0.8,1.34,27,329,0
45,0.82,5.19,45,259,0
44,0.37,3.19,40,350,0
64,0.84,5.58,25,230,0
60,0.61,4.61,35,204,0
48,0.45,4.05,38,361,0
34,0.7,5.75,18,209,0
64,0.54,2.98,40,288,0
20,0.46,5.77,25,329,0
44,0.69,1.68,46,325,0
26,0.37,3.42,49,210,0
28,0.43,2.35,23,377,0
43,0.5,3.7,22,358,0
20,0.38,1.81,32,255,0
63,0.48,5.21,39,282,0
27,0.6,5.23,32,336,0
43,0.72,5.78,19,298,0
30,0.74,1.77,18,348,0
36,0.78,4.12,40,272,1
27,0.72,3.37,40,355,0
54,0.68,2.72,43,389,0
54,0.37,2.76,28,314,0
52,0.48,3.06,27,206,0
24,0.53,4.52,47,279,0
61,0.26,3.99,35,343,0
58,0.57,3.3,35,296,0
60,0.51,1.38,34,203,0
47,0.76,1.39,43,203,0
26,0.88,1.01,25,302,0
28,0.59,5.84,32,239,0
27,0.43,1.03,25,216,0
31,0.23,1.52,34,300,0
53,0.85,2.57,29,302,0
52,0.84,5.04,44,323,0
67,0.38,5.81,25,251,0
42,0.69,4.95,42,251,0
43,0.25,4.45,31,363,0
56,0.32,3.61,21,323,0
54,0.35,1.43,18,365,0
63,0.41,5.79,18,377,0
59,0.9,4.79,36,262,0
41,0.69,4.19,48,315,0
46,0.47,4.8,33,390,0
54,0.72,4.62,31,261,0
20,0.84,4.19,38,206,1
54,0.87,5.9,33,354,0
56,0.24,5.52,22,291,0
66,0.48,4.23,26,213,0
33,0.27,4.47,43,398,0
22,0.43,1.26,47,285,0
20,0.32,4.35,45,332,0
24,0.65,1.22,19,382,0
45,0.47,3.94,35,329,0
33,0.36,6.0,49,261,0
58,0.39,3.78,23,348,0
46,0.45,3.37,48,278,0
28,0.38,2.56,26,348,0
34,0.52,1.6,18,337,0
34,0.22,4.66,26,257,0
45,0.4,1.96,42,319,0
61,0.49,1.58,33,366,0
32,0.62,3.11,30,332,0
51,0.39,4.98,26,264,0
58,0.29,4.73,38,212,0
68,0.25,1.27,30,380,0
51,0.86,3.28,48,281,0
23,0.49,3.61,26,372,0
49,0.61,4.22,28,359,0
56,0.84,4.25,21,363,0
42,0.26,2.82,19,387,0
58,0.81,3.8,46,338,0
64,0.59,3.41,23,390,0
34,0.32,5.42,31,348,0
62,0.49,3.65,21,251,0
48,0.74,3.21,23,382,0
55,0.54,3.02,36,316,0
32,0.89,3.86,23,225,0
51,0.46,5.02,19,395,0
26,0.72,3.69,35,233,0
41,0.48,4.31,30,251,0
47,0.78,4.69,26,311,0
21,0.6,3.6,40,281,0
61,0.24,3.13,36,379,0
64,0.23,5.38,30,356,0
25,0.29,3.09,28,365,0
47,0.21,3.31,18,241,0
47,0.25,5.95,41,220,0
63,0.68,1.0,47,241,0
63,0.57,1.93,39,340,0
39,0.72,2.92,24,312,0
49,0.84,5.66,42,304,0
30,0.61,1.35,38,391,0
47,0.71,1.05,32,216,0
44,0.73,1.26,18,319,0
58,0.46,1.44,29,336,0
52,0.37,1.19,43,368,0
20,0.34,3.4,24,328,0
46,0.38,3.9,32,329,0
32,0.39,2.36,38,259,0
60,0.35,2.99,36,247,0
22,0.81,1.46,45,228,0
58,0.73,2.68,46,296,0
25,0.23,3.61,42,209,0
27,0.39,4.66,18,257,0
46,0.22,1.02,34,387,0
28,0.55,3.34,49,220,0
56,0.53,2.49,34,227,0
52,0.78,5.26,20,233,0
61,0.42,4.58,29,207,0
63,0.77,3.95,23,386,0
43,0.88,2.39,43,399,0
34,0.26,5.55,28,376,0
51,0.75,1.23,20,278,0
51,0.61,1.55,25,344,0
43,0.54,2.96,31,387,0
60,0.49,1.62,31,286,0
68,0.75,5.78,27,287,0
68,0.65,4.99,19,372,0
31,0.76,2.29,31,268,0
58,0.83,3.94,26,359,0
21,0.63,5.91,20,371,0
22,0.89,5.42,38,392,1
68,0.63,4.0,43,286,0
56,0.65,5.52,25,300,0
68,0.59,5.95,33,207,0
36,0.26,4.72,19,276,0
68,0.71,1.32,23,399,0
21,0.58,3.01,45,286,0
21,0.52,5.19,38,242,0
47,0.84,2.15,46,328,0
42,0.41,5.15,43,308,0
56,0.57,1.6,42,378,0
51,0.69,1.23,29,351,0
52,0.76,2.92,22,351,0
20,0.52,1.18,19,216,0
38,0.79,5.79,33,332,0
21,0.74,5.13,22,347,0
63,0.25,5.0,32,220,0
45,0.23,4.15,29,257,0
51,0.63,2.08,21,358,0
25,0.44,3.59,32,309,0
51,0.35,3.99,28,338,0
23,0.61,3.63,33,379,0
30,0.44,2.3,40,342,0
36,0.58,3.58,23,334,0
57,0.52,3.46,31,227,0
43,0.61,5.98,35,250,0
24,0.48,5.49,29,385,0
53,0.69,3.32,44,204,0
25,0.33,4.11,28,204,0
41,0.69,4.74,30,293,0
30,0.49,1.17,38,295,0
67,0.81,5.47,40,207,0
35,0.56,5.3,28,263,0
52,0.88,3.29,40,337,0
28,0.62,2.96,33,237,0
25,0.36,2.36,32,310,0
35,0.78,3.38,38,311,0
48,0.44,1.22,45,280,0
22,0.44,5.26,32,335,0
39,0.22,1.18,42,303,0
55,0.58,2.65,21,352,0
38,0.57,5.66,28,272,0
45,0.45,4.68,36,393,0
22,0.83,2.41,32,377,0
38,0.29,2.26,21,394,0
39,0.43,1.03,38,248,0
51,0.43,4.48,30,235,0
26,0.26,1.24,39,325,0
60,0.54,3.66,36,267,0
52,0.68,5.81,19,277,0
59,0.56,1.55,31,304,0
58,0.31,5.47,46,368,0
37,0.46,5.96,21,321,0
59,0.2,1.31,33,318,0
20,0.81,5.41,38,389,1
30,0.26,3.58,37,313,0
47,0.62,5.53,31,209,0
44,0.89,3.86,44,348,0
69,0.58,4.31,46,363,0
42,0.85,3.72,32,339,0
50,0.37,5.32,45,290,0
49,0.73,4.67,20,201,0
61,0.57,3.61,25,317,0
54,0.7,5.34,33,212,0
26,0.24,2.23,27,380,0
35,0.3,1.79,21,359,0
45,0.29,1.8,47,294,0
67,0.68,2.67,35,343,0
68,0.79,2.19,19,231,0
21,0.72,5.65,34,231,0
20,0.22,1.53,30,323,0
67,0.81,4.49,21,210,0
31,0.45,1.95,43,209,0
24,0.48,5.41,42,214,0
56,0.27,5.81,47,216,0
51,0.72,3.33,28,367,0
28,0.33,5.4,24,345,0
60,0.59,1.03,48,382,0
54,0.79,5.1,29,352,0
38,0.26,2.14,27,258,0
67,0.57,5.54,24,277,0
35,0.36,1.01,30,323,0
22,0.44,3.78,48,313,0
39,0.53,4.78,24,221,0
43,0.45,2.29,48,357,0
52,0.65,1.97,41,371,0
43,0.54,1.42,34,231,0
30,0.61,2.63,27,378,0
68,0.72,3.8,46,373,0
27,0.59,1.58,27,312,0
