timestamp,sensor_rock_strength,sensor_moisture,sensor_vibration,sensor_slope_angle,sensor_depth,temperature,gas_level,noise_level
2024-01-01 00:00:00,62,0.299,4.582,47,276,19,0.923,93
2024-01-01 01:00:00,19,0.282,3.656,35,192,27,0.783,92
2024-01-01 02:00:00,40,0.936,3.237,26,186,31,0.242,107
2024-01-01 03:00:00,69,0.853,4.252,54,361,24,1.371,69
2024-01-01 04:00:00,18,0.472,5.926,47,213,31,0.202,75
2024-01-01 05:00:00,34,0.938,0.888,49,250,31,1.778,60
2024-01-01 06:00:00,38,0.365,5.235,32,419,32,1.369,63
2024-01-01 07:00:00,54,0.706,2.473,19,227,43,0.56,95
2024-01-01 08:00:00,43,0.746,1.968,24,283,22,0.673,77
2024-01-01 09:00:00,72,0.72,3.818,29,295,27,1.547,101
2024-01-01 10:00:00,29,0.338,1.67,27,322,27,2.459,65
2024-01-01 11:00:00,38,0.894,5.064,15,387,27,0.98,40
2024-01-01 12:00:00,23,0.345,2.526,47,216,27,1.989,46
2024-01-01 13:00:00,40,0.349,2.525,53,234,23,0.768,44
2024-01-01 14:00:00,61,0.858,6.778,25,332,44,0.954,46
2024-01-01 15:00:00,57,0.992,2.509,53,257,43,2.193,80
2024-01-01 16:00:00,41,0.723,1.261,52,378,41,0.792,55
2024-01-01 17:00:00,23,0.277,1.0,42,220,40,2.46,77
2024-01-01 18:00:00,54,0.161,5.223,25,197,20,1.017,93
2024-01-01 19:00:00,53,0.674,1.93,48,353,37,2.012,108
2024-01-01 20:00:00,19,0.966,3.105,42,199,23,1.868,57
2024-01-01 21:00:00,63,0.967,5.711,28,269,25,2.269,99
2024-01-01 22:00:00,22,0.452,5.961,24,363,27,1.956,85
2024-01-01 23:00:00,59,0.918,1.934,52,406,25,0.832,56
2024-01-02 00:00:00,15,0.313,3.326,40,382,24,1.241,45
2024-01-02 01:00:00,26,0.729,5.474,45,401,25,1.888,75
2024-01-02 02:00:00,70,0.313,3.232,36,338,30,0.607,64
2024-01-02 03:00:00,73,0.111,5.456,45,252,39,1.953,93
2024-01-02 04:00:00,21,0.159,4.042,41,266,39,1.611,79
2024-01-02 05:00:00,34,0.868,5.866,39,390,21,1.031,65
2024-01-02 06:00:00,59,0.666,3.172,38,333,44,1.102,51
2024-01-02 07:00:00,20,0.973,4.255,31,357,31,2.397,104
2024-01-02 08:00:00,71,0.565,6.37,20,419,21,1.005,53
2024-01-02 09:00:00,39,0.491,2.711,30,391,27,2.057,101
2024-01-02 10:00:00,70,0.883,4.947,47,228,21,1.958,103
2024-01-02 11:00:00,68,0.775,2.354,27,372,28,1.618,48
2024-01-02 12:00:00,63,0.198,3.57,24,216,22,1.976,104
2024-01-02 13:00:00,74,0.726,2.979,35,354,31,1.826,70
2024-01-02 14:00:00,15,0.902,1.616,53,414,21,0.6,104
2024-01-02 15:00:00,49,0.222,5.679,16,275,22,0.459,59
2024-01-02 16:00:00,71,0.525,6.069,25,304,44,2.373,99
2024-01-02 17:00:00,24,0.406,2.446,28,185,40,0.959,86
2024-01-02 18:00:00,29,0.518,5.262,16,227,30,0.389,63
2024-01-02 19:00:00,53,0.252,5.018,27,308,28,2.064,92
2024-01-02 20:00:00,19,0.461,5.259,25,395,19,2.334,79
2024-01-02 21:00:00,61,0.334,6.168,25,237,33,0.841,60
2024-01-02 22:00:00,24,0.15,3.42,25,365,40,1.545,54
2024-01-02 23:00:00,38,0.458,4.431,54,367,41,2.01,42
2024-01-03 00:00:00,50,0.714,0.797,18,220,38,0.618,66
2024-01-03 01:00:00,18,0.48,3.352,24,317,39,0.589,56
2024-01-03 02:00:00,23,0.434,4.067,39,183,42,0.717,95
2024-01-03 03:00:00,34,0.577,1.186,52,238,40,2.367,70
2024-01-03 04:00:00,63,0.716,1.293,29,291,38,2.172,63
2024-01-03 05:00:00,16,0.202,4.007,49,218,22,2.456,87
2024-01-03 06:00:00,15,0.681,2.334,46,408,21,2.114,55
2024-01-03 07:00:00,31,0.267,4.467,25,187,28,1.575,71
2024-01-03 08:00:00,69,0.917,3.379,49,312,29,1.706,94
2024-01-03 09:00:00,46,0.774,4.618,31,233,19,1.279,91
2024-01-03 10:00:00,44,0.477,4.73,22,349,36,1.725,90
2024-01-03 11:00:00,59,0.605,2.123,50,247,29,1.88,100
2024-01-03 12:00:00,43,0.682,2.191,35,418,22,1.719,77
2024-01-03 13:00:00,22,0.798,6.507,50,230,39,0.763,103
2024-01-03 14:00:00,38,0.53,4.281,37,330,31,1.945,42
2024-01-03 15:00:00,25,0.504,4.694,15,298,32,0.813,48
2024-01-03 16:00:00,56,0.602,2.911,37,305,29,1.636,47
2024-01-03 17:00:00,50,0.137,2.541,33,214,29,1.708,79
2024-01-03 18:00:00,15,0.769,5.496,43,186,21,0.935,50
2024-01-03 19:00:00,22,0.703,1.936,32,309,20,2.15,102
2024-01-03 20:00:00,38,0.329,5.128,30,386,18,2.023,98
2024-01-03 21:00:00,43,0.919,3.44,46,375,33,2.324,92
2024-01-03 22:00:00,70,0.774,6.657,50,296,28,0.703,92
2024-01-03 23:00:00,47,0.858,5.058,42,330,35,1.251,91
2024-01-04 00:00:00,36,0.885,6.186,32,255,30,0.316,63
2024-01-04 01:00:00,51,0.559,6.444,24,332,40,1.399,79
2024-01-04 02:00:00,50,0.52,4.575,17,329,18,1.038,57
2024-01-04 03:00:00,48,0.909,6.574,24,401,33,2.227,70
2024-01-04 04:00:00,18,0.366,4.131,17,294,21,2.39,66
2024-01-04 05:00:00,74,0.65,2.493,43,203,34,2.155,99
2024-01-04 06:00:00,42,0.497,6.031,21,381,33,2.112,72
2024-01-04 07:00:00,48,0.155,5.153,49,418,42,1.628,84
2024-01-04 08:00:00,34,0.959,2.784,16,301,43,1.884,55
2024-01-04 09:00:00,42,0.48,4.829,43,373,40,0.781,40
2024-01-04 10:00:00,19,0.612,5.38,39,315,42,1.95,58
2024-01-04 11:00:00,34,0.402,1.76,48,212,28,1.438,70
2024-01-04 12:00:00,48,0.821,2.138,37,359,21,0.41,95
2024-01-04 13:00:00,74,0.102,3.8,16,347,30,2.097,57
2024-01-04 14:00:00,45,0.872,3.014,44,310,26,1.867,43
2024-01-04 15:00:00,72,0.503,4.378,21,194,30,1.678,97
2024-01-04 16:00:00,52,0.544,3.536,49,286,31,1.827,105
2024-01-04 17:00:00,24,0.353,6.464,49,316,32,1.955,42
2024-01-04 18:00:00,44,0.89,6.127,53,236,34,0.593,45
2024-01-04 19:00:00,32,0.475,4.168,45,317,31,1.9,78
2024-01-04 20:00:00,46,0.972,5.889,40,391,39,1.874,99
2024-01-04 21:00:00,17,0.454,2.796,38,372,18,2.26,41
2024-01-04 22:00:00,34,0.858,4.315,52,263,30,0.93,75
